"Timestamp","Operation","ClientIP","AppUsed","Subject"
"1/27/2026 5:56:13 PM","MoveToDeletedItems","98.58.200.46","Client=MSExchangeRPC","Patients discharge ; RE: MediMobile Demo for HHA; Re:HHA meeting; Re: Meeting; RE: Meeting"
"1/27/2026 5:56:13 PM","MoveToDeletedItems","98.58.200.46","Client=MSExchangeRPC","RE: Jackson Billing ; Re: Re:Physician Communication Scores - October 2024; RE: Request: A/R aging based on DOS"
"1/27/2026 5:56:13 PM","MoveToDeletedItems","98.58.200.46","Client=MSExchangeRPC","CV for Hamzah Qudah, MD - Practicing Board Certified Hospitalist in Florida interested in JFK & BROWARD - J1 visa/Already FL Licensed!!; CV for Ayesha Riaz, MD - New 2025 Hospitalist Grad interested in CORPUS CHRISTI - US Citizen!!; The State of Healthcare: Industry Leaders' Perspectives (1.5 credits); Re: MediMobile Demo for HHA; Re:HHA meeting"
"1/27/2026 5:56:13 PM","MoveToDeletedItems","98.58.200.46","Client=MSExchangeRPC","RE: Meeting; Re: MediMobile Demo for HHA; Palms West Barriers 11.15.2024; Re: April Expenses; Meeting "
"1/27/2026 5:56:13 PM","MoveToDeletedItems","98.58.200.46","Client=MSExchangeRPC","RE: Request: A/R aging based on DOS; RE: Jackson Billing ; RE: Jackson Billing ; RE: Jackson Billing ; JFK Main Bed days report 11.13.2024"
"1/27/2026 5:56:13 PM","MoveToDeletedItems","98.58.200.46","Client=MSExchangeRPC","Per Diem Hospitalist Position; Per Diem Hospitalist Position; RE: Request: A/R aging based on DOS; RE: Request: A/R aging based on DOS; RE: Request: A/R aging based on DOS"
"1/27/2026 5:56:13 PM","MoveToDeletedItems","98.58.200.46","Client=MSExchangeRPC","RE: Upcoming Thanksgiving Holiday; Note that I have a free trial and not really access to see anything.... so not sure if I can help you retrieve your data; Requests; RE: Upcoming Thanksgiving Holiday; RE: Upcoming Thanksgiving Holiday"
"1/27/2026 5:56:13 PM","MoveToDeletedItems","98.58.200.46","Client=MSExchangeRPC","Observations; Hospitalist Scores and Action Plan for Patient Care Improvement; Re: Jennifer Arriaga Request ; Re: Jennifer Arriaga Request ; James Tremaroli, MD - Practicing Board Certified Hospitalist/Nocturnist in Southeast Florida - Already FL Licensed!"
"1/27/2026 5:56:13 PM","MoveToDeletedItems","98.58.200.46","Client=MSExchangeRPC","Jackson 10/2024; We've received your payment; Updates/Quick Question; RE: 11/13/24 Metrics ; 11/13/24 Metrics "
"1/27/2026 5:56:13 PM","MoveToDeletedItems","98.58.200.46","Client=MSExchangeRPC","RE: Request: A/R aging based on DOS; Survey Metrics Update & Recognition; 11-14-2024; Facility-Level Summary of Pending Bills (July - October) (11.14.2024); Re: Observations"
"1/27/2026 5:56:13 PM","MoveToDeletedItems","98.58.200.46","Client=MSExchangeRPC","Medrina Proposed Agreement; Re: Analysis of expenditures, proposal for new Payroll/HR system ; JFK North Recruitment report ; Re: Page Management; RE: Intros "
"1/27/2026 5:56:13 PM","MoveToDeletedItems","98.58.200.46","Client=MSExchangeRPC","CV for Dave OConnell, MD - Practicing Board Certified Hospitalist interested in JFK - Just received his FL License 2 weeks ago/Moving to the Palm Beach area!!; Backlog Encounter Update 11/14/2024; RE: Upcoming Thanksgiving Holiday; Discharge patients ; CV for Jessica Kotlyarov, MD - Local (Boca Raton) Experienced Hospitalist interested - Already FL Licensed!!"
"1/27/2026 5:56:13 PM","MoveToDeletedItems","98.58.200.46","Client=MSExchangeRPC","Fw: Patients Information ; Fw: Patients information; RE: Request: A/R aging based on DOS; Fw: patients information; HHA Invoice for September 2024"
"1/27/2026 5:56:13 PM","MoveToDeletedItems","98.58.200.46","Client=MSExchangeRPC","Re: Meeting; HHA meeting; 11/25/24 Metrics; FW: ACH Remittance from Huntsville Community Hospital DBA HMH; % by Financial Class"
"1/27/2026 5:56:13 PM","MoveToDeletedItems","98.58.200.46","Client=MSExchangeRPC","Re: Jennifer Arriaga Request ; 11-12 Metrics by Facility; Re: PSWP: Delay in care event number 144078- RCA request ; Re: HHA Invoice for September 2024; PSWP: Delay in care event number 144078- RCA request "
"1/27/2026 5:56:13 PM","MoveToDeletedItems","98.58.200.46","Client=MSExchangeRPC","Palms West Barriers 11/14/2024; RE: Observations; CV for Azhar Dalal, DO - Local (Davie) Practicing Board Certified/All US Trained Hospitalist interested in BROWARD & JACKSON - Already FL Licensed, Experienced & Lives in Broward!!; FWD: CV for Azhar Dalal, DO - Local (Davie) Practicing Board Certified/All US Trained Hospitalist interested in BROWARD & JACKSON - Already FL Licensed, Experienced & Lives in Broward!!; CV for Chad R. Hierlmeier, MD - New 2025 Hospitalist Grad interested - Moving back to SE Florida/Born & Raised in the area!!"
"1/27/2026 5:56:13 PM","MoveToDeletedItems","98.58.200.46","Client=MSExchangeRPC","RE: Request: A/R aging based on DOS; RE: Request: A/R aging based on DOS; RE: Request: A/R aging based on DOS; Discharge patients ; RE: Request: A/R aging based on DOS"
"1/27/2026 5:56:13 PM","MoveToDeletedItems","98.58.200.46","Client=MSExchangeRPC","New Leons Patients ; Email to connect; Expensify Integrations Email; Expensify magic sign-in code: 171896; FWD: CV for Jessica Kotlyarov, MD - Local (Boca Raton) Experienced Hospitalist interested - Already FL Licensed!!"
"1/27/2026 5:56:13 PM","MoveToDeletedItems","98.58.200.46","Client=MSExchangeRPC","Re: Page Management; Discharge HHA Patient; RE: MediMobile Demo Times and Information; Re: HHA Compliance Checklist 11/1/2024; Analysis of expenditures, proposal for new Payroll/HR system "
"1/27/2026 5:56:07 PM","MoveToDeletedItems","98.58.200.46","Client=MSExchangeRPC","FW: Press Ganey Provider Reports; FW: Press Ganey Provider Reports; RE: HHA Census since July 1 - Jackson Memorial Hospital; Fw: Weekly LOS Report; Re: Tracking "
"1/27/2026 5:56:07 PM","MoveToDeletedItems","98.58.200.46","Client=MSExchangeRPC","FW: HCA Florida JFK Hospital Hospitalist of the Month - November 2024; Re: IMPORTANT: JMH Transfers from ICU/IMCU to the floor; IMPORTANT: JMH Transfers from ICU/IMCU to the floor; FW: Remittance advice for payment 02291400; Jackson 12012024J"
"1/27/2026 5:56:07 PM","MoveToDeletedItems","98.58.200.46","Client=MSExchangeRPC","Re: HHA Census since July 1 - Jackson Memorial Hospital; RE: HHA Census since July 1 - Jackson Memorial Hospital; CV for Juan Rondon, MD - Practicing Board Certified Hospitalist in BROWARD interested - Already FL Licensed!!; CV for Britony Dixon, MD - New 2025 Hospitalist Grad in Southeast Florida interested in JFK & BROWARD - Already FL Licensed!!; CV for Mehmet Sari, MD - New 2025 Hospitalist Grad interested in Broward & JFK positions - Moving to the area after graduation!!"
"1/27/2026 5:56:07 PM","MoveToDeletedItems","98.58.200.46","Client=MSExchangeRPC","RE: Report - All patients seen - Billing Audit; Re: Quote; 11/19/24 Metrics ; Re:HHA meeting; Updates to Link?s Terms of Service and Privacy Policy"
"1/27/2026 5:56:07 PM","MoveToDeletedItems","98.58.200.46","Client=MSExchangeRPC","Fw: HHA Census since July 1; Discharge Patiens; Join us for Give Miami Day 11.21.2024; RE: RCM TO report out on physician education? ; RCM TO report out on physician education? "
